feature,coefficient,abs_coefficient,base_feature
num__Assessed Value,307744.76744239504,307744.76744239504,Assessed Value
cat__Property Type_Apartments,199705.43699425898,199705.43699425898,Property Type
cat__Property Type_Industrial,101590.51000261212,101590.51000261212,Property Type
cat__Rank (of 177)_5th,89342.8343179927,89342.8343179927,Rank (of 177)
cat__Property Type_Single Family,-81897.86801758241,81897.86801758241,Property Type
cat__Rank (of 177)_32nd,80531.8097911416,80531.8097911416,Rank (of 177)
cat__Property Type_Four Family,-76968.36175529819,76968.36175529819,Property Type
cat__Rank (of 177)_1st,71427.07389150756,71427.07389150756,Rank (of 177)
cat__Property Type_Vacant Land,-65105.703527085265,65105.703527085265,Property Type
cat__Residential Type_Condo,-58966.45241803808,58966.45241803808,Residential Type
cat__Property Type_Three Family,-56575.269181029566,56575.269181029566,Property Type
cat__Property Type_Two Family,-49539.917863571616,49539.917863571616,Property Type
cat__Rank (of 177)_175th,45850.57437069488,45850.57437069488,Rank (of 177)
cat__Rank (of 177)_143rd,40446.742840342136,40446.742840342136,Rank (of 177)
cat__Rank (of 177)_148th,35719.46751775249,35719.46751775249,Rank (of 177)
cat__Rank (of 177)_133rd,-35290.48176141623,35290.48176141623,Rank (of 177)
cat__Residential Type_Four Family,35183.078864085925,35183.078864085925,Residential Type
cat__Property Type_Commercial,35124.409580139574,35124.409580139574,Property Type
cat__Rank (of 177)_94th,-33933.54785239712,33933.54785239712,Rank (of 177)
cat__Rank (of 177)_169th,33100.91742276719,33100.91742276719,Rank (of 177)
cat__Rank (of 177)_87th,-31330.465730648935,31330.465730648935,Rank (of 177)
cat__Rank (of 177)_136th,-28782.911169777894,28782.911169777894,Rank (of 177)
cat__Property Type_Condo,-28147.049508544773,28147.049508544773,Property Type
cat__Rank (of 177)_18th,-28092.63902155211,28092.63902155211,Rank (of 177)
cat__Residential Type_Three Family,27702.994591026018,27702.994591026018,Residential Type
cat__Rank (of 177)_68th,-27458.441865627712,27458.441865627712,Rank (of 177)
cat__Rank (of 177)_76th,-25949.827777790037,25949.827777790037,Rank (of 177)
cat__Rank (of 177)_112th,-25733.328935824316,25733.328935824316,Rank (of 177)
cat__Rank (of 177)_98th,-24515.059392374747,24515.059392374747,Rank (of 177)
cat__Rank (of 177)_135th,24238.138934776332,24238.138934776332,Rank (of 177)
cat__Rank (of 177)_75th,-22974.53481535507,22974.53481535507,Rank (of 177)
cat__Rank (of 177)_41st,-22932.881346010097,22932.881346010097,Rank (of 177)
cat__Property Type_Residential,21813.813261553827,21813.813261553827,Property Type
cat__Rank (of 177)_106th,21191.73141114314,21191.73141114314,Rank (of 177)
