Rank (of 177),City,# Elementary Schools,# Middle Schools,# High Schools,# Alt. Schools,# Private Schools*,Rank score (2025),,,
1st,New Canaan,3,1,1,0,3,0.993,,,
2nd,Old Greenwich,1,0,0,0,0,0.992,,,
3rd,Sherman,1,0,0,0,0,0.99,,,
4th,Riverside,3,1,0,0,0,0.986,,,
5th,Weston,2,1,1,0,0,0.972,,,
6th,Darien,5,1,1,0,1,0.964,,,
7th,Ridgefield,8,3,1,0,3,0.947,,,
8th,Westport,8,2,1,0,4,0.944,,,
9th,Wilton,2,1,1,0,4,0.939,,,
10th,Simsbury,2,1,1,0,3,0.936,,,
11th,West Simsbury,1,0,0,0,1,0.933,,,
12th,Madison,4,1,1,0,4,0.933,,,
13th,Redding,1,1,1,0,1,0.932,,,
14th,Old Lyme,2,1,1,1,0,0.921,,,
15th,Washington,0,0,1,0,2,0.903,,,
16th,Cheshire,6,1,3,0,3,0.902,,,
17th,Easton,1,1,0,0,1,0.896,,,
18th,Farmington,3,2,1,0,1,0.893,,,
19th,East Lyme,2,0,4,0,0,0.889,,,
20th,Higganum,2,0,1,0,1,0.887,,,
21st,Lyme,1,0,0,0,0,0.886,,,
22nd,Weatogue,1,0,0,0,0,0.884,,,
23rd,Tariffville,1,0,0,0,0,0.882,,,
24th,Trumbull,9,2,4,2,5,0.882,,,
25th,Woodbridge,1,0,1,0,3,0.879,,,
26th,Stonington,1,0,0,0,1,0.878,,,
27th,Bethany,1,1,0,0,1,0.876,,,
28th,Sandy Hook,2,0,1,0,0,0.872,,,
29th,South Glastonbury,3,0,0,0,0,0.864,,,
29th,Southport,1,0,0,0,2,0.864,,,
31st,Unionville,2,0,0,0,0,0.862,,,
32nd,Greenwich,6,2,2,0,10,0.858,,,
33rd,Fairfield,11,3,2,0,9,0.856,,,
34th,Niantic,3,1,2,0,2,0.844,,,
35th,Orange,4,1,0,0,6,0.83,,,
36th,Newtown,3,2,1,0,3,0.822,,,
37th,Storrs,0,1,1,0,0,0.821,,,
38th,Chester,1,0,0,0,1,0.815,,,
39th,Pomfret Center,1,0,0,0,0,0.815,,,
40th,Guilford,4,2,1,0,0,0.813,,,
41st,Canton,1,2,1,0,1,0.806,,,
42nd,North Stonington,1,0,1,0,1,0.803,,,
43rd,West Suffield,0,0,1,0,0,0.801,,,
44th,Prospect,2,2,0,0,0,0.798,,,
45th,East Granby,2,1,1,0,0,0.796,,,
46th,Ellington,3,1,1,0,0,0.793,,,
47th,Bethlehem,1,0,0,0,1,0.793,,,
48th,Coventry,4,1,2,0,0,0.792,,,
49th,Lakeville,2,1,0,0,3,0.785,,,
50th,Hebron,2,1,1,0,0,0.781,,,
51st,Monroe,3,1,1,0,0,0.781,,,
52nd,Killingworth,1,1,0,0,0,0.778,,,
53rd,Plantsville,4,2,0,0,0,0.772,,,
54th,Granby,2,1,1,0,0,0.77,,,
55th,New Fairfield,2,1,2,0,0,0.77,,,
56th,Suffield,2,1,1,0,1,0.768,,,
57th,Tolland,2,1,1,0,0,0.764,,,
58th,Southington,10,2,3,0,2,0.759,,,
59th,Marlborough,1,0,0,0,0,0.757,,,
60th,Centerbrook,1,0,0,0,0,0.755,,,
61st,Beacon Falls,1,0,1,0,0,0.754,,,
62nd,Wolcott,4,1,1,0,0,0.746,,,
63rd,Harwinton,1,0,0,0,0,0.74,,,
64th,Pawcatuck,1,0,1,0,1,0.738,,,
65th,Southbury,2,1,1,0,0,0.735,,,
66th,Oxford,2,1,1,0,0,0.734,,,
67th,Willington,1,1,0,0,0,0.73,,,
68th,South Windsor,5,1,1,0,0,0.726,,,
69th,Deep River,1,1,1,0,0,0.726,,,
70th,Burlington,1,1,1,0,1,0.725,,,
71st,West Hartford,16,3,4,0,14,0.722,,,
72nd,Durham,1,1,1,0,2,0.722,,,
73rd,Mansfield Center,1,0,0,0,2,0.722,,,
74th,Bolton,1,0,1,0,1,0.721,,,
75th,East Hampton,2,1,2,0,0,0.719,,,
76th,Waterford,4,2,1,0,2,0.718,,,
77th,Yalesville,2,0,0,0,0,0.712,,,
78th,Canaan,1,0,0,0,0,0.707,,,
79th,Avon,5,2,1,0,4,0.705,,,
80th,Lebanon,1,1,1,0,0,0.703,,,
81st,Bethel,3,1,1,0,2,0.7,,,
82nd,Old Saybrook,1,1,1,0,3,0.697,,,
83rd,Andover,2,0,0,0,0,0.694,,,
84th,Westbrook,1,1,1,0,0,0.692,,,
85th,Colchester,2,1,1,0,0,0.69,,,
86th,Glastonbury,7,2,3,1,1,0.689,,,
87th,Portland,2,2,1,0,0,0.686,,,
88th,Cos Cob,1,0,0,0,0,0.684,,,
89th,Kensington,1,0,0,0,2,0.669,,,
90th,Woodbury,1,1,1,0,0,0.667,,,
91st,Rocky Hill,5,1,1,0,0,0.667,,,
92nd,Northford,1,0,1,0,0,0.665,,,
93rd,Brookfield,1,1,1,0,4,0.661,,,
94th,Berlin,1,1,1,0,0,0.648,,,
95th,Shelton,7,2,1,0,1,0.641,,,
96th,North Branford,1,1,1,0,0,0.634,,,
97th,Ledyard,1,0,1,0,0,0.632,,,
98th,Cromwell,2,1,1,0,2,0.63,,,
99th,Quaker Hill,1,0,0,0,1,0.629,,,
100th,Mystic,2,1,1,0,0,0.629,,,
101st,North Haven,5,1,3,0,1,0.625,,,
102nd,Milford,8,3,3,0,8,0.622,,,
103rd,Middlebury,2,1,0,0,1,0.611,,,
104th,Broad Brook,0,1,0,0,0,0.603,,,
105th,New Hartford,3,1,0,0,1,0.598,,,
106th,Branford,4,1,1,0,2,0.598,,,
107th,Ashford,1,0,0,0,0,0.591,,,
108th,Canterbury,1,1,0,0,0,0.584,,,
109th,Somers,1,1,2,0,0,0.583,,,
110th,Preston,1,1,0,0,0,0.576,,,
111th,Clinton,1,1,2,0,0,0.576,,,
112th,Plainville,3,1,2,0,2,0.569,,,
113th,Moodus,1,1,1,0,0,0.569,,,
114th,Salem,1,0,0,0,0,0.568,,,
115th,Wethersfield,7,2,1,1,2,0.566,,,
116th,Thomaston,1,1,1,0,0,0.56,,,
117th,Oakdale,3,1,1,0,1,0.557,,,
118th,Middlefield,2,0,0,0,1,0.548,,,
119th,Newington,4,2,1,0,1,0.547,,,
120th,Columbia,1,0,0,0,0,0.544,,,
121st,Barkhamsted,3,0,0,0,0,0.544,,,
122nd,Wallingford,7,2,3,0,8,0.542,,,
123rd,Seymour,2,1,1,0,0,0.537,,,
124th,Brooklyn,1,1,0,0,1,0.534,,,
125th,Vernon,5,1,1,0,0,0.525,,,
126th,Woodstock,1,1,2,0,0,0.519,,,
127th,Watertown,1,0,1,0,3,0.515,,,
128th,Groton,3,1,3,0,1,0.511,,,
129th,North Grosvenordale,1,1,1,0,1,0.508,,,
130th,Gales Ferry,2,1,0,0,0,0.507,,,
131st,Lisbon,1,0,0,0,0,0.503,,,
132nd,Winsted,2,2,6,0,1,0.499,,,
133rd,Bristol,16,7,4,1,6,0.494,,,
134th,West Haven,6,4,2,0,4,0.465,,,
135th,New Milford,4,1,2,0,2,0.463,,,
136th,Meriden,10,4,5,0,5,0.461,,,
137th,Terryville,1,1,1,0,0,0.458,,,
138th,Plainfield,3,1,0,0,0,0.458,,,
139th,Dayville,1,1,1,0,0,0.446,,,
140th,Oakville,2,1,0,0,1,0.443,,,
141st,Windsor,5,1,2,0,5,0.428,,,
142nd,Stafford Springs,2,1,1,0,0,0.425,,,
143rd,Norwalk,15,4,5,0,2,0.418,,,
144th,East Windsor,1,0,2,0,0,0.412,,,
145th,Danielson,1,0,2,0,2,0.412,,,
146th,Enfield,13,1,4,0,4,0.409,,,
147th,North Windham,4,0,0,0,0,0.405,,,
148th,Stamford,16,5,5,0,17,0.393,,,
149th,Uncasville,1,0,1,0,2,0.391,,,
150th,Windsor Locks,2,1,2,0,0,0.382,,,
151st,Griswold,1,1,1,0,0,0.373,,,
152nd,Sterling,1,0,0,0,0,0.365,,,
153rd,Manchester,10,2,4,0,8,0.353,,,
154th,Torrington,8,1,2,0,2,0.34,,,
155th,Hamden,9,2,4,0,7,0.337,,,
156th,Putnam,1,1,2,0,2,0.336,,,
157th,Middletown,13,2,7,0,3,0.332,,,
158th,Danbury,15,3,2,1,9,0.332,,,
159th,Stratford,17,4,6,0,3,0.322,,,
160th,Naugatuck,7,3,1,0,3,0.317,,,
161st,East Haven,6,1,1,0,1,0.307,,,
162nd,Norwich,12,3,3,0,3,0.304,,,
163rd,East Hartford,10,3,7,1,3,0.302,,,
164th,Derby,3,1,1,0,1,0.297,,,
165th,Central Village,0,0,1,0,0,0.262,,,
166th,Willimantic,4,1,3,0,1,0.235,,,
167th,Waterbury,29,6,8,2,12,0.208,,,
168th,Windham,1,0,0,0,0,0.203,,,
169th,Bridgeport,30,1,13,4,9,0.203,,,
170th,New Haven,31,1,11,3,14,0.199,,,
171st,Baltic,1,0,0,0,2,0.199,,,
172nd,Bloomfield,5,2,3,1,2,0.19,,,
173rd,Ansonia,2,2,3,0,1,0.183,,,
174th,New London,4,3,3,0,4,0.17,,,
175th,Hartford,36,6,20,3,11,0.167,,,
176th,New Britain,15,4,3,1,4,0.139,,,
177th,Taftville,1,0,0,0,1,0.138,,,
,,,,,,,,,,
